HouseAge,DistanceToStation,NumberOfPubs,HousePrice,Year,Month,PostCode_5212.0,PostCode_5213.0,PostCode_5217.0,PostCode_5222.0,PostCode_5614.0
1.4490052904208452,-0.4967157946208279,1.3283745459678726,460286.0,2021,2,0,0,0,0,1
-0.033105264410332555,-0.37557273111661676,-0.36319629608787074,253332.0,2020,1,0,1,0,0,0
1.4490052904208452,-0.6345859540254342,1.6666887143790212,486532.0,2021,6,0,0,0,0,1
-1.5152158192415104,-0.7059843539840672,0.6517462091455752,595168.0,2020,12,0,0,0,1,0
1.4490052904208452,-0.7619909790023353,1.3283745459678726,250495.0,2019,3,1,0,0,0,0
1.9721031333024375,-0.6897847225289438,1.3283745459678726,518256.0,2020,2,0,0,1,0,0
-1.4280328454279116,-0.5834088953697595,-1.0398246329101681,539602.0,2021,6,0,0,0,1,0
1.79773718567524,-0.6347907736571337,0.9900603775567238,433496.0,2020,1,0,0,0,0,1
-0.20747121203752994,2.294715589072133,-1.3781388013213167,74070.0,2021,5,0,0,1,0,0
-0.9049350025463195,-0.6646657107278415,1.6666887143790212,517941.0,2021,11,0,0,1,0,0
1.9721031333024375,-0.6235728414345743,0.6517462091455752,315576.0,2021,1,1,0,0,0,0
-0.9049350025463195,-0.6751432553194567,0.31343204073442654,481110.0,2019,3,0,0,0,0,1
1.536188264234444,-0.4427894797530256,0.31343204073442654,395614.0,2020,5,0,0,0,1,0
-1.2536668978007142,-0.37045815285801476,0.31343204073442654,498204.0,2020,4,0,0,1,0,0
-0.9049350025463195,-0.7414803874585844,1.6666887143790212,486621.0,2020,8,0,0,0,0,1
1.4490052904208452,-0.6972762894038057,0.9900603775567238,450502.0,2020,11,0,0,0,0,1
0.4028096046576609,2.713297415883568,-1.3781388013213167,96773.0,2020,2,0,1,0,0,0
-0.3818371596647273,-0.3877611106776577,0.6517462091455752,100382.0,2021,11,0,1,0,0,0
0.8387244737256544,-0.4462138739990261,-0.36319629608787074,216811.0,2019,6,0,0,1,0,0
-0.20747121203752994,-0.6166065260959547,0.31343204073442654,733382.0,2021,4,0,0,0,1,0
1.536188264234444,-0.450066429805025,1.3283745459678726,354312.0,2021,7,0,0,1,0,0
-0.9921179763599182,-0.6589582192217782,1.6666887143790212,453509.0,2021,1,0,1,0,0,0
-0.20747121203752994,1.7727710751053884,-1.3781388013213167,309030.0,2020,5,0,0,0,1,0
-1.079300950173517,-0.821561676848337,1.6666887143790212,354949.0,2019,7,0,1,0,0,0
1.2746393427936478,-0.014055566758682471,-1.3781388013213167,75892.0,2020,5,0,0,0,0,1
-0.3818371596647273,2.2757727216512578,-1.3781388013213167,300458.0,2021,2,0,0,0,0,1
-0.20747121203752994,2.3199204457599296,-1.3781388013213167,207938.0,2021,1,0,0,0,1,0
1.9721031333024375,-0.8091208960958641,1.3283745459678726,327054.0,2020,2,0,1,0,0,0
1.4490052904208452,-0.5307856103910775,-0.024882127676722095,227725.0,2020,4,0,0,1,0,0
0.7515414999120557,-0.5023180428347636,0.6517462091455752,490445.0,2021,4,0,0,0,1,0
1.1002733951664505,-0.7640106880425928,2.00500288279017,421505.0,2019,1,0,0,0,0,1
0.14126068321686483,-0.20293560920677278,-1.3781388013213167,264225.0,2019,8,0,0,0,1,0
-1.1664839239871156,-0.3976606926415067,0.31343204073442654,294240.0,2019,5,1,0,0,0,0
0.31562663084406223,-0.04424289146907222,-1.3781388013213167,207203.0,2021,8,0,0,0,0,1
-0.12028823822393125,0.02193451170737132,-1.3781388013213167,268997.0,2019,7,0,0,0,1,0
-1.4280328454279116,-0.6951014451653725,1.6666887143790212,449941.0,2021,5,0,0,1,0,0
0.8387244737256544,2.5484342798498334,-1.0398246329101681,124355.0,2020,2,0,1,0,0,0
-0.20747121203752994,0.5644639873385969,-0.7015104644990194,269322.0,2021,2,0,0,0,1,0
-1.340849871614313,-0.46326219460883916,0.31343204073442654,500835.0,2020,1,0,0,1,0,0
1.9721031333024375,-0.7629884392634686,0.6517462091455752,371227.0,2019,7,1,0,0,0,0
1.1874563689800492,0.17183378444886374,-1.3781388013213167,130618.0,2020,1,0,1,0,0,0
-0.8177520287327208,-0.5878065343295128,0.31343204073442654,376778.0,2019,11,0,0,1,0,0
1.4490052904208452,-0.5993348493851465,1.3283745459678726,279144.0,2020,11,1,0,0,0,0
-1.5152158192415104,-0.45923740369559823,0.6517462091455752,403584.0,2021,5,0,0,1,0,0
-0.6433860811055234,0.7842010155712599,-0.024882127676722095,164304.0,2020,1,1,0,0,0,0
-0.469020133478326,0.22804263990471899,-1.0398246329101681,260139.0,2020,2,0,0,0,0,1
-0.12028823822393125,0.20714642536109415,-0.36319629608787074,144554.0,2020,11,1,0,0,0,0
1.4490052904208452,-0.12985075745759508,0.9900603775567238,379711.0,2020,2,0,0,0,0,1
0.05407770940326614,-0.8401377229412736,1.6666887143790212,329819.0,2020,7,0,0,1,0,0
1.4490052904208452,-0.5275994784579858,1.3283745459678726,459629.0,2019,2,0,0,0,1,0
-0.12028823822393125,2.4566184842966887,-1.3781388013213167,135549.0,2021,2,0,0,1,0,0
-0.9049350025463195,-0.6545049809324999,0.31343204073442654,617592.0,2020,11,0,0,0,1,0
-0.12028823822393125,-0.6247391100024947,0.31343204073442654,372159.0,2020,1,1,0,0,0,0
-0.469020133478326,-0.2453554012714917,-0.7015104644990194,275031.0,2019,1,0,0,1,0,0
1.3618223166072465,-0.7419723550478141,1.3283745459678726,447463.0,2019,8,0,0,0,1,0
0.05407770940326614,-0.7184944080801545,0.31343204073442654,203975.0,2020,5,1,0,0,0,0
0.05407770940326614,0.312243526915364,-1.0398246329101681,200844.0,2019,5,0,0,1,0,0
-1.1664839239871156,-0.31545707512004073,-0.36319629608787074,445686.0,2020,1,0,0,0,1,0
-0.20747121203752994,1.1006934436348959,-0.36319629608787074,168244.0,2021,5,1,0,0,0,0
-0.3818371596647273,-0.30203618758865625,-0.7015104644990194,200491.0,2019,7,1,0,0,0,0
-0.033105264410332555,-0.8172145654715489,0.31343204073442654,354921.0,2019,4,0,1,0,0,0
0.22844365703046352,-0.1856912254081026,-0.7015104644990194,593705.0,2020,5,0,0,0,1,0
